v,vw,o,c,h,l,t,n
64394.660975,716.6572,716.69,716.645,716.735,716.6,1789140300000,2197
100361.727458,716.9066,716.68,717.09,717.1,716.665,1789140360000,3083
152035.01988,717.3074,717.08,717.43,717.44,717.08,1789140420000,3063
56733.929957,717.3334,717.45,717.27,717.45,717.2002,1789140480000,2170
60591.732951,717.2855,717.28,717.26,717.34,717.2,1789140540000,2192
31215.168489,717.2595,717.24,717.36,717.37,717.09,1789140600000,2224
88233.905019,717.3172,717.36,717.32,717.43,717.21,1789140660000,2400
73702.647482,717.5313,717.3101,717.45,717.63,717.31,1789140720000,2284
36982.416704,717.4076,717.46,717.3,717.51,717.27,1789140780000,2226
28257.233519,717.3136,717.31,717.29,717.37,717.23,1789140840000,1975
34821.829516,717.1174,717.29,717.01,717.325,716.94,1789140900000,2084
24612.476211,717.1022,717.06,717.05,717.175,717.0,1789140960000,1872
30031.142452,716.9583,717.07,716.87,717.14,716.79,1789141020000,1806
24532.697632,716.8308,716.8601,716.84,716.89,716.74,1789141080000,1851
32493.865518,717.1101,716.8201,717.05,717.2,716.82,1789141140000,1914
15136.37914,717.0029,717.05,716.98,717.125,716.8301,1789141200000,1757
18965.849647,717.033,716.97,716.97,717.08,716.89,1789141260000,1740
20780.699214,716.9957,716.9473,716.91,717.025,716.91,1789141320000,1662
29047.770398,717.1445,716.9486,717.16,717.23,716.92,1789141380000,1972
22016.156589,717.152,717.1531,717.11,717.21,717.11,1789141440000,1905
11359.173902,717.0299,717.1,716.93,717.11,716.93,1789141500000,1699
17130.247308,716.8561,716.93,716.98,716.99,716.75,1789141560000,1762
16041.690729,716.9483,716.995,716.87,717.0336,716.84,1789141620000,1661
46224.286298,716.7823,716.87,716.79,716.93,716.7,1789141680000,1926
22189.80643,716.97,716.79,716.9,717.06,716.79,1789141740000,1761
32218.502634,716.9077,716.9,717.04,717.049,716.82,1789141800000,1737
20344.385734,716.9228,717.005,716.875,717.035,716.82,1789141860000,1723
16911.714866,716.7981,716.87,716.73,716.87,716.69,1789141920000,1854
57978.631862,716.4805,716.7,716.392,716.705,716.38,1789141980000,2040
29421.135948,716.3421,716.4,716.39,716.44,716.245,1789142040000,1998
77460.196615,716.485,716.39,716.23,716.45,716.23,1789142100000,2088
